DATE,IMPCH
2020-12-01,8215.773700
2021-01-01,5917.689232
2021-02-01,11289.901267
2021-03-01,20347.128931
2021-04-01,6668.211244
2021-05-01,2184.105418
2021-06-01,2525.958447
2021-07-01,-166.534581
2021-08-01,2283.055315
2021-09-01,6367.713995
2021-10-01,3314.264797
2021-11-01,3628.999718
2021-12-01,7891.530248
2022-01-01,8976.824114
2022-02-01,8388.511981
2022-03-01,7385.095059
2022-04-01,4363.664864
2022-05-01,5356.758472
2022-06-01,8805.952379
2022-07-01,6348.397575
2022-08-01,7452.382000
2022-09-01,1863.007748
